# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-28.9638,1,0.604845,1,1,0,29.0786,-0.28394
-28.9638,5.88178e-23,0.89351,1,1,0,30.4134,-0.28394
-29.3941,0.784284,0.200569,2,3,0,30.8415,-0.554183
-29.2068,0.89339,0.198086,1,3,0,30.4727,-0.174049
-29.0903,1,0.239776,2,3,0,29.1998,-0.214064
-28.9562,1,0.353167,1,3,0,29.0078,-0.387701
-28.9562,4.32467e-08,0.518443,1,1,0,30.9771,-0.387701
-29.0583,0.990732,0.120366,2,5,0,29.1761,-0.227575
-28.9823,0.997782,0.173921,3,7,0,29.0924,-0.269289
-29.2739,0.910336,0.253769,1,1,0,29.274,-0.154899
-29.2739,5.65469e-33,5.0376,1,2,1,29.3984,-0.154899
-29.2739,0,11.7631,0,1,1,30.8328,-0.154899
-29.2739,0.771969,1.15984,1,3,0,30.772,-0.154899
-29.2892,0.998658,0.657909,1,1,0,29.3132,-0.150803
-29.6271,0.951859,0.848396,1,1,0,29.6272,-0.0760855
-32.6724,0.777742,1.11706,2,3,0,32.6976,-0.950851
-31.6637,1,0.941567,1,1,0,32.7295,-0.861924
-29.0508,1,1.64265,2,3,0,30.2497,-0.23094
-28.9791,0.338155,2.97964,1,3,0,28.9855,-0.40738
-28.9673,0.980879,0.683636,1,3,0,29.3185,-0.280904
-28.9825,0.99851,1.20405,2,3,0,28.99,-0.269094
-28.9332,1,2.2636,1,1,0,28.9434,-0.344184
-28.9332,0.0396357,4.28934,1,1,0,29.0037,-0.344184
-29.8807,0.974588,0.399749,2,5,0,30.1519,-0.031711
-30.0167,0.995429,0.707518,2,3,0,30.0677,-0.0103679
-29.3908,1,1.33165,1,1,0,29.8943,-0.125573
-29.4057,0.364506,2.52684,1,3,0,29.4392,-0.556862
-29.359,1,0.683214,1,1,0,29.4253,-0.545857
-29.359,0.696139,1.295,1,1,0,30.1123,-0.545857
-28.9436,0.96963,0.975963,1,3,0,29.6071,-0.306869
-28.9476,0.99565,1.67168,2,3,0,28.9539,-0.301267
-28.9476,0.332301,3.06713,1,1,0,28.9717,-0.301267
-29.4036,0.962925,0.797188,3,7,0,29.5063,-0.122599
-28.9698,0.981166,1.326,1,3,0,29.3547,-0.40015
-29.2145,0.768118,2.30549,1,1,0,29.2557,-0.171746
-29.4815,0.776554,2.16093,1,1,0,29.4861,-0.573639
-29.034,1,2.07708,1,1,0,29.106,-0.239008
-29.034,0.00918785,3.74263,1,3,0,29.0429,-0.239008
-29.0876,0.986289,0.422883,2,5,0,29.8113,-0.463805
-32.9398,0.816811,0.736333,3,7,0,33.2059,0.293348
-31.8778,1,0.798656,3,7,0,32.9067,0.203042
-31.39,1,1.42279,2,3,0,31.6847,-0.835056
-31.39,3.57488e-08,2.51074,1,1,0,31.8553,-0.835056
-31.5536,0.996951,0.303429,1,1,0,31.5547,-0.851281
-28.933,0.975583,0.532831,2,7,0,32.5499,-0.341482
-28.933,0.999969,0.876582,3,7,0,28.9333,-0.341913
-29.5093,0.84024,1.52468,1,3,0,29.5107,-0.09947
-29.0432,0.836183,1.73871,2,3,0,29.4664,-0.444474
-29.0889,0.983209,1.95808,1,3,0,29.093,-0.214649
-29.0889,0.054072,3.2016,1,3,0,29.094,-0.214649
-28.9932,0.998305,0.495245,1,3,0,29.1452,-0.261921
-28.937,1,0.843314,3,7,0,28.9882,-0.3194
-28.934,0.999169,1.43065,2,3,0,28.9399,-0.349492
-29.0838,0.83897,2.40325,1,1,0,29.1351,-0.216686
-29.0838,0.0598443,2.70305,1,1,0,29.1594,-0.216686
-29.0957,0.999835,0.453671,2,3,0,29.0978,-0.211939
-29.0302,1,0.760833,1,1,0,29.0881,-0.240883
-30.1747,0.620633,1.26716,2,3,0,31.4596,-0.691789
-30.0437,1,0.846592,1,1,0,30.2751,-0.672688
-30.0685,0.99022,1.39888,1,1,0,30.5068,-0.676382
-29.1428,0.985763,0.56084,2,5,0,30.5464,-0.194662
-29.1428,0,7.8618,0,1,1,29.1916,-0.194662
-29.1874,0.991947,1.3185,2,3,0,29.2043,-0.498973
-29.1874,0.243785,1.82028,1,1,0,29.9772,-0.498973
-29.1754,1,0.342507,1,1,0,29.1913,-0.495157
-28.9533,0.956065,0.550577,2,5,0,29.9196,-0.294393
-29.2404,0.916684,0.833967,1,3,0,29.4753,-0.514786
-29.7143,0.817331,1.16186,1,1,0,29.8194,-0.618954
-29.7607,0.992963,1.20839,2,3,0,29.7652,-0.051857
-29.9069,0.266364,2.2061,1,3,0,30.1156,-0.651487
-28.9398,0.999542,0.407557,2,7,0,29.9251,-0.313262
-28.9411,0.984957,0.767736,3,7,0,29.0485,-0.310923
-28.9411,0.196039,1.38284,1,1,0,30.04,-0.310923
-29.0178,0.997806,0.209455,3,11,0,29.2447,-0.431556
-30.6759,0.940489,0.395174,2,7,0,31.1223,-0.756876
-31.6425,0.888009,0.621007,2,3,0,32.6904,-0.859896
-32.4705,0.836625,0.826652,1,1,0,32.855,-0.934114
-29.9775,1,0.937684,2,3,0,31.8099,-0.662605
-28.9346,1,1.74303,1,1,0,29.1878,-0.326657
-28.9346,1.30094e-54,3.20987,1,1,0,31.666,-0.326657
-28.9824,0.995621,0.296912,2,7,0,29.2402,-0.269223
-29.1971,0.97979,0.542591,2,5,0,29.3516,-0.501982
-29.0921,0.95924,0.937441,2,3,0,29.524,-0.213367
-29.0921,0.509839,1.51204,1,1,0,29.3544,-0.213367
-29.2076,0.984133,0.662642,1,1,0,29.2084,-0.173795
-29.7759,0.778886,1.14204,2,3,0,30.3203,-0.62976
-28.9657,1,1.09042,1,3,0,29.4738,-0.396722
-29.0303,0.926354,1.9391,1,1,0,29.0431,-0.240873
-29.0303,1.49644e-05,2.78178,1,1,0,29.1221,-0.240873
-29.5696,0.98666,0.307193,2,5,0,29.7858,-0.087231
-29.413,1,0.524721,1,1,0,29.5592,-0.120452
-29.5679,0.986465,0.921166,2,3,0,29.665,-0.0875677
-29.5679,0.0812321,1.54491,1,1,0,30.4083,-0.0875677
-29.4257,0.999359,0.228769,1,3,0,29.6368,-0.117565
-29.6354,0.982222,0.398135,2,3,0,29.9055,-0.0745283
-30.0358,0.947044,0.656513,1,1,0,30.0457,-0.007488
-30.0854,0.995033,0.979852,2,3,0,30.4096,-0.000103799
-31.1314,0.803144,1.64549,1,3,0,31.1316,-0.808254
-29.4645,1,1.67455,1,1,0,29.7052,-0.109003
-29.4645,1.53666e-27,2.81378,1,1,0,29.9129,-0.109003
-29.1763,0.995775,0.373758,3,7,0,29.7793,-0.18353
-29.0153,0.980509,0.623485,3,7,0,29.558,-0.430197
-32.8515,0.38239,0.993653,1,3,0,33.0216,-0.965316
-33.1536,0.984096,0.358013,2,3,0,33.7326,-0.988991
-29.6554,1,0.573972,2,5,0,32.7933,-0.070768
-29.2237,0.925093,0.950137,2,3,0,30.2526,-0.509968
-29.248,0.995706,1.30251,2,3,0,29.2546,-0.162049
-29.248,0.00393087,2.1068,1,1,0,30.9391,-0.162049
-28.9488,0.989464,0.316647,2,5,0,29.9189,-0.379237
-29.0981,0.981265,0.506132,1,3,0,29.2413,-0.467977
-28.9343,0.991233,0.788488,1,3,0,29.1689,-0.327835
-28.9378,0.704775,1.24993,2,3,0,29.5396,-0.361403
-29.1209,0.950217,1.01145,2,3,0,29.221,-0.202414
-29.2575,0.787077,1.44717,2,3,0,29.4012,-0.159397
-28.962,1,1.41705,1,3,0,29.0706,-0.393407
-28.962,0.00284568,2.25611,1,1,0,29.3325,-0.393407
-29.311,0.988855,0.372186,2,7,0,29.4091,-0.533883
-29.0426,0.996193,0.579258,3,7,0,29.4615,-0.234821
-29.7894,0.861148,0.911468,1,3,0,29.8009,-0.0469074
-30.8043,0.699954,1.05591,1,1,0,30.996,0.0929923
-30.3498,1,0.854664,1,1,0,30.9218,0.0368318
-29.6197,0.791255,1.34188,2,3,0,30.5426,-0.60149
-29.0233,0.372365,1.3275,2,3,0,31.6335,-0.244453
-29.1784,0.990707,0.528183,2,3,0,29.1943,-0.182855
-29.2059,0.99435,0.808583,1,1,0,29.249,-0.174317
-29.2102,0.999307,1.2415,2,3,0,29.2119,-0.505954
-29.2102,0.219755,1.91718,1,1,0,29.2791,-0.505954
-28.9332,0.983082,0.561673,3,7,0,29.7351,-0.33439
-28.9422,0.998614,0.837685,2,3,0,28.9447,-0.309137
-28.9372,0.999815,1.28515,2,3,0,28.9419,-0.318886
-28.9372,0.0191508,1.96744,1,1,0,29.6732,-0.318886
-29.1365,0.993253,0.389738,2,7,0,29.1677,-0.482113
-28.9432,0.969045,0.589609,2,5,0,29.5841,-0.307518
-29.0101,0.993048,0.844907,2,3,0,29.0102,-0.427292
-28.973,1,1.26698,1,1,0,29.0118,-0.402784
-30.6685,0.139695,1.91895,1,1,0,31.18,0.0769996
-30.1392,0.885496,0.50586,2,5,0,33.5666,-0.686708
-30.2155,0.99113,0.608369,1,1,0,30.3289,-0.697529
-29.0786,1,0.902753,1,3,0,29.9512,-0.460156
-29.0786,0.168485,1.35818,1,1,0,30.5552,-0.460156
-31.7513,0.908109,0.389787,2,5,0,32.4993,-0.870237
-31.5008,1,0.488976,3,7,0,31.836,-0.846105
-28.9722,0.933475,0.733402,1,3,0,32.1644,-0.402148
-28.94,1,0.961835,1,1,0,28.9628,-0.365974
-29.9589,0.517305,1.43243,1,1,0,29.9765,-0.0192712
-29.9808,0.995213,0.832792,1,1,0,30.199,-0.0158646
-29.773,0.959297,1.22505,2,3,0,30.5143,-0.0497206
-32.1475,0.12218,1.6758,1,1,0,33.6392,0.227334
-31.4747,1,0.460292,1,1,0,32.1088,0.164542
-30.2808,1,0.681478,1,1,0,31.3018,0.0275447
-30.1408,1,1.00538,1,1,0,30.5968,0.00797036
-30.5818,0.738034,1.4781,1,1,0,31.4924,0.0664746
-30.3977,1,1.3232,2,3,0,30.8092,0.0431364
-30.3977,0.00299069,1.93641,1,1,0,30.5596,0.0431364
-29.5772,0.987357,0.440165,2,3,0,30.8303,-0.085731
-28.963,1,0.630082,2,3,0,29.5052,-0.284708
-30.6934,0.663803,0.92043,1,3,0,30.8785,0.0799763
-28.967,1,0.721768,2,3,0,30.4933,-0.281193
-29.4959,0.65085,1.05036,2,3,0,30.7241,-0.102292
-29.3929,0.846503,0.805542,1,3,0,31.0119,-0.553912
-29.3929,1.79483e-126,3.53446,1,1,0,30.0072,-0.553912
-29.3929,0,8.25319,0,1,1,29.9481,-0.553912
-29.0137,0.948969,0.813759,1,3,0,29.7893,-0.249672
-29.0153,0.999698,0.739776,1,1,0,29.0298,-0.248771
-29.2783,0.916289,0.989959,1,1,0,29.2844,-0.153691
-28.936,1,1.19853,1,1,0,29.1124,-0.321976
-28.936,0.21674,2.01813,1,1,0,29.1759,-0.321976
-28.9444,0.98335,0.313235,4,15,0,29.9267,-0.305701
-29.5837,0.952296,0.53248,2,5,0,29.7077,-0.594529
-29.5837,0.770156,0.844033,1,1,0,30.4201,-0.594529
-30.0083,0.919387,0.76405,1,1,0,30.0493,-0.667328
-28.9573,0.986169,1.11889,1,3,0,29.6195,-0.290184
-28.9573,0.00608395,2.03197,1,1,0,29.4342,-0.290184
-28.9342,0.999706,0.170759,3,13,0,29.0335,-0.328123
-29.1403,0.974348,0.327742,2,7,0,30.1642,-0.195523
-29.3546,0.932408,0.579369,2,3,0,30.0207,-0.134213
-28.9548,0.982929,0.895896,1,3,0,29.4266,-0.386239
-28.9548,0.00328322,1.60956,1,1,0,30.9797,-0.386239
-29.2701,0.991464,0.147417,4,19,0,31.0104,-0.155917
-29.2779,0.999803,0.273912,1,1,0,29.2832,-0.153816
-30.058,0.951985,0.517215,2,3,0,30.1108,-0.00416074
-30.9761,0.802868,0.839762,1,1,0,31.0798,0.112405
-29.4876,0.818041,0.874049,2,3,0,32.961,-0.104031
-29.9363,0.575562,0.950564,2,3,0,32.7824,-0.0228104
-29.4062,0.999299,0.513448,3,7,0,30.0078,-0.121998
-30.2826,0.768703,0.940784,1,1,0,30.3242,0.027794
-29.1436,1,0.887994,1,3,0,29.9842,-0.194377
-29.1192,1,1.6068,1,3,0,29.1244,-0.475941
-29.1192,0.0176603,2.87875,1,3,1,29.1888,-0.475941
-29.1306,0.999852,0.338876,2,3,0,29.1336,-0.480048
-29.1034,0.994581,0.608912,2,3,0,29.2417,-0.469998
-32.0039,0.325516,1.06818,1,1,0,32.004,-0.893509
-30.9209,1,0.306198,3,7,0,31.9872,-0.785244
-30.9209,0.921238,0.543011,1,1,0,31.6713,-0.785244
-28.945,0.91561,0.774329,1,3,0,31.6205,-0.304745
