# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.8146,1,0.25,2,3,0,53.8709,0.0941794
-30.8146,0,14.3855,0,1,1,32.7565,0.0941794
-30.8146,0,2.43117,0,1,1,31.4028,0.0941794
-29.0485,1,0.239791,1,3,0,30.3578,-0.232008
-30.151,0.683086,0.324332,2,3,0,30.2262,0.00942741
-29.1541,1,0.197169,2,7,0,29.9885,-0.488173
-29.1544,0.99996,0.327178,2,3,0,29.2212,-0.488248
-29.0323,1,0.576045,1,1,0,29.2497,-0.439119
-29.0323,2.77393e-69,1.05066,1,1,0,29.2495,-0.439119
-29.3928,0.967466,0.083093,2,7,0,30.7708,-0.125096
-29.0903,1,0.140174,2,3,0,29.4022,-0.214094
-29.9834,0.730806,0.26493,1,1,0,29.9894,-0.0154574
-32.0271,0.622302,0.215398,1,1,0,32.0344,0.216623
-29.337,0.905049,0.125502,1,3,0,34.0869,-0.138527
-29.6914,0.981719,0.178379,2,3,0,29.6941,-0.0641645
-29.9259,0.435223,0.321287,2,3,0,31.6446,-0.654528
-28.9663,0.997642,0.107099,2,7,0,30.0744,-0.397237
-28.9535,0.989848,0.202545,2,7,0,29.0404,-0.294206
-29.9626,0.498937,0.371125,1,1,0,29.9835,-0.660285
-30.0923,0.997813,0.154152,3,7,0,30.1714,-0.679899
-30.086,1,0.287724,1,1,0,30.5667,-0.678973
-30.086,0.0189516,0.535374,1,3,0,30.094,-0.678973
-29.5688,0.996506,0.0555931,3,11,0,30.8408,-0.0873833
-29.0094,0.998046,0.102863,2,7,0,29.7097,-0.426892
-29.4254,0.947221,0.189273,2,3,0,29.5613,-0.561355
-28.9562,0.334772,0.29818,2,3,0,37.2903,-0.387694
-28.9534,0.997637,0.0822487,2,7,0,29.0948,-0.294305
-29.9816,0.844118,0.14925,1,3,0,30.9379,-0.0157464
-30.04,0.991107,0.174866,1,1,0,30.181,-0.00685398
-29.9265,1,0.306663,2,3,0,30.0743,-0.654623
-29.9265,0.0121771,0.545939,1,3,0,29.9322,-0.654623
-30.3477,0.992635,0.0658133,2,3,0,30.348,-0.715528
-30.4945,0.990301,0.115223,1,1,0,30.5366,-0.734551
-28.9654,0.904194,0.198649,1,3,0,31.3033,-0.282508
-28.933,1,0.270201,1,3,0,28.9547,-0.33712
-30.6746,0.145372,0.470474,1,1,0,31.2601,0.0777388
-29.0988,0.989355,0.0873609,2,7,0,31.5462,-0.468234
-28.9942,0.995459,0.147974,2,5,0,29.1936,-0.261222
-29.2726,0.915039,0.252516,1,1,0,29.2736,-0.155243
-31.8974,0.203583,0.348165,1,1,0,32.2688,0.204842
-30.8402,1,0.078971,2,3,0,31.8775,0.0971237
-31.2381,0.964235,0.135267,1,1,0,31.2922,0.140511
-29.0454,1,0.210233,2,3,0,30.8048,-0.445509
-29.2534,0.91357,0.354654,1,3,0,29.2676,-0.16053
-29.2534,1.061e-06,0.480153,1,1,0,30.9047,-0.16053
-29.9677,0.98945,0.0696964,3,7,0,30.034,-0.0178891
-28.9824,0.999166,0.114186,2,7,0,30.0166,-0.269217
-29.2876,0.967802,0.190164,2,7,0,29.2982,-0.527773
-28.9559,0.667594,0.291745,2,3,0,30.3098,-0.291604
-30.1248,0.825162,0.21824,2,3,0,30.5229,0.00565498
-30.1248,0.298419,0.237571,1,1,0,33.2032,0.00565498
-29.1201,0.984924,0.0752447,4,15,0,31.9521,-0.202717
-28.9571,0.99349,0.119443,3,7,0,29.3984,-0.388594
-28.9565,1,0.192213,1,1,0,28.9611,-0.387973
-29.4004,0.866609,0.312031,2,3,0,29.4224,-0.555653
-29.4004,0.138537,0.371287,1,1,0,30.2901,-0.555653
-29.4741,0.999122,0.0845668,2,3,0,29.4741,-0.572065
-29.1587,0.97427,0.136421,2,5,0,29.9614,-0.189272
-29.0045,0.986289,0.206913,2,3,0,29.2924,-0.25493
-29.0436,0.682796,0.320682,2,3,0,29.6517,-0.444657
-30.4538,0.707502,0.252545,1,3,0,30.4639,-0.729372
-29.9719,1,0.210566,1,1,0,30.472,-0.661739
-29.1767,1,0.333548,2,3,0,29.5411,-0.495575
-29.1767,1.75073e-09,0.525498,1,1,0,30.7858,-0.495575
-29.0162,0.988102,0.0947701,2,5,0,29.7998,-0.2483
-28.9463,0.997512,0.145796,3,7,0,29.0893,-0.375998
-30.071,0.737994,0.227722,1,3,0,30.452,-0.00223013
-30.0234,1,0.203821,2,7,0,30.0669,-0.669622
-29.1214,1,0.317813,1,1,0,29.6657,-0.476743
-30.4319,0.203074,0.493124,1,1,0,31.4163,-0.72656
