# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=326898250
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-31.1976,1,0.25,1,1,0,35.0889,-0.815257
-31.1976,0,14.3855,0,1,1,31.4111,-0.815257
-31.1976,0,2.43117,0,1,1,31.7536,-0.815257
-28.9381,0.982511,0.239791,1,3,0,30.987,-0.316782
-28.9492,0.901087,0.308525,2,3,0,29.1256,-0.379844
-29.8034,0.577475,0.35848,1,1,0,29.8109,-0.0445339
-29.9069,0.985864,0.165791,1,1,0,29.9929,-0.0274837
-29.4134,1,0.276237,1,1,0,29.8569,-0.120348
-29.4134,0.194561,0.500272,1,3,0,29.4149,-0.120348
-29.0886,0.991446,0.0728756,2,5,0,30.0497,-0.21476
-28.9379,0.990461,0.132599,3,7,0,29.4236,-0.361838
-29.005,0.974054,0.243189,2,3,0,29.084,-0.424359
-29.005,0.251817,0.425452,1,1,0,29.3067,-0.424359
-29.0077,0.999864,0.0773555,2,3,0,29.0158,-0.42592
-28.9539,0.988618,0.14816,3,7,0,29.2404,-0.293736
-28.9344,0.997199,0.272943,2,3,0,28.9665,-0.351629
-29.3545,0.574734,0.513359,1,1,0,29.5535,-0.134217
-29.5805,0.924387,0.263737,1,1,0,29.6981,-0.085086
-29.3405,1,0.395483,1,3,0,29.4035,-0.541308
-29.3405,2.00145e-17,0.740451,1,1,0,29.4201,-0.541308
-29.3514,0.995554,0.0696526,3,7,0,29.7437,-0.543988
-29.0534,0.999271,0.129437,2,5,0,29.3741,-0.229782
-28.9743,1,0.240834,1,1,0,29.0333,-0.275175
-29.4137,0.647637,0.444579,1,1,0,29.4706,-0.558696
-28.9332,0.99913,0.29431,1,3,0,29.2123,-0.33435
-28.9332,1.54705e-08,0.535758,1,1,0,31.1516,-0.33435
-28.9467,0.999523,0.0569628,2,7,0,28.9773,-0.30236
-29.1666,0.949495,0.10424,2,5,0,30.5493,-0.49232
-29.1091,1,0.164284,1,1,0,29.1672,-0.472196
-28.9384,0.484331,0.295423,2,3,0,31.0866,-0.362845
-28.9461,0.998956,0.128157,3,7,0,28.9705,-0.303177
-28.9454,1,0.228064,1,1,0,28.949,-0.304191
-28.9356,1,0.403161,1,1,0,28.9375,-0.355713
-28.9356,0.000759079,0.706102,1,1,0,29.1591,-0.355713
